Price,City,District,Neighborhood,Average Price,Listing Number,Listing Update Date,Category,Net Square Meters,Number of Rooms,Floor,Heating Type,Deposit,Number of Bathrooms,Listing Creation Date,Type,Kind,Gross Square Meters,Building Age,Number of Building Floors,Usage Status,Within Site,Price Status,Structure Status,Furnishing Status,Balcony Status,Building Type,Number of WCs,Swap,Bathroom Square Meters,Living Room Square Meters,WC Square Meters,Virtual Tour Available?,Maintenance Fee,Balcony Type,Number of Balconies,Balcony Square Meters
16500TL,İstanbul,Pendik,Kavakpınar Mahallesi,18480.0,15779354,27 Ağustos 2024,Kiralık,110 m²,3+1,2.Kat,Kombi Doğalgaz,,1,27 Ağustos 2024,Konut,Daire,120 m²,16-20,2,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
11500TL,İstanbul,Pendik,Ahmet Yesevi Mahallesi,15200.0,15779350,27 Ağustos 2024,Kiralık,85 m²,2+1,Müstakil,Kombi Doğalgaz,,1,27 Ağustos 2024,Konut,Daire,100 m²,16-20,3,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
10000TL,İstanbul,Pendik,Fatih Mahallesi,12400.0,15779344,27 Ağustos 2024,Kiralık,70 m²,2+1,Müstakil,Sobalı,,1,27 Ağustos 2024,Konut,Daire,80 m²,16-20,3,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
17000TL,İstanbul,Pendik,Kavakpınar Mahallesi,18480.0,15779340,27 Ağustos 2024,Kiralık,110 m²,3+1,3.Kat,Kombi Doğalgaz,,1,27 Ağustos 2024,Konut,Daire,120 m²,11-15,4,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
13000TL,İstanbul,Pendik,Kavakpınar Mahallesi,15400.0,15779335,27 Ağustos 2024,Kiralık,70 m²,2+1,4.Kat,Kombi Doğalgaz,,1,27 Ağustos 2024,Konut,Daire,100 m²,11-15,4,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
15500TL,İstanbul,Küçükçekmece,Yeşilova Mahallesi,14310.0,15779179,27 Ağustos 2024,Kiralık,80 m²,2+1,4.Kat,Kombi Doğalgaz,,1,27 Ağustos 2024,Konut,Daire,90 m²,21 Ve Üzeri,6,Kiracı Oturuyor,Hayır,Genel Fiyat,,,,,,,,,,,,,,
20000TL,İstanbul,Esenyurt,Zafer Mahallesi,17936.0,15778901,27 Ağustos 2024,Kiralık,80 m²,2+1,3.Kat,Merkezi (Pay Ölçer),,2,27 Ağustos 2024,Konut,Daire,118 m²,3,39,Boş,Evet,Genel Fiyat,İkinci El,,Var,Betonarme,2,Yok,,,,,,,,
35000TL,İstanbul,Pendik,Çamlık Mahallesi,19200.0,15778246,29 Ağustos 2024,Kiralık,67 m²,2+1,1.Kat,Merkezi (Pay Ölçer),,1,27 Ağustos 2024,Konut,Daire,80 m²,4,7,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
16900TL,İstanbul,Küçükçekmece,Mehmet Akif Mahallesi,20480.0,15778234,29 Ağustos 2024,Kiralık,145 m²,3+1,4.Kat,Doğalgaz Sobalı,,1,27 Ağustos 2024,Konut,Daire,160 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
23500TL,İstanbul,Pendik,Şeyhli Mahallesi,19600.0,15778112,27 Ağustos 2024,Kiralık,76 m²,2+1,5.Kat,Kombi Doğalgaz,,1,27 Ağustos 2024,Konut,Daire,100 m²,4,7,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
